type,canonical_id,canonical_name,duplicate_id,duplicate_name,confidence,name_similarity
similar,P425115A,ヴィルジル・ファン・ダイク,P50E454D,ヴィルヒル・ファン・ダイク,0.9461538461538461,0.9230769230769231
similar,P97A8009,ウルフアロン,PD2BB197,ウルフ・アロン,0.9461538461538461,0.9230769230769231
similar,P56E484,スティーブン・ホーキング,P37CD7D3,スティーヴン・ホーキング,0.9416666666666667,0.9166666666666666
similar,P3F0FD18,ジョン・ロックフェラー,P6039C47,ジョン・D・ロックフェラー,0.9416666666666667,0.9166666666666666
similar,P6EC69A9,イングマール・ベルイマン,P96D29C2,インゲマール・ベルイマン,0.9416666666666667,0.9166666666666666
similar,PF857BAB,バーブラ・ストライサンド,PD1CA920,バーバラ・ストライサンド,0.9416666666666667,0.9166666666666666
similar,P46036A3,ジャン・ポール・サルトル,PAB1C26D,ジャン＝ポール・サルトル,0.9416666666666667,0.9166666666666666
similar,P109AAD1,サイモン&ガーファンクル,PA92C73F,サイモン・ガーファンクル,0.9416666666666667,0.9166666666666666
similar,PCDF3127,宝塚歌劇団創設者小林一三,P2ABFDC1,宝塚歌劇団創始者小林一三,0.9416666666666667,0.9166666666666666
similar,PD99CD83,千代の富士,P778209A,千代の富士貢,0.9363636363636363,0.9090909090909091
similar,P8E7761B,マルチナ・ナブラチロワ,PC7A223E,マルチナ・ナヴラチロワ,0.9363636363636363,0.9090909090909091
similar,PB31095E,ロアール・アムンセン,PA8487B2,ロアルド・アムンセン,0.9299999999999999,0.9
similar,PF526E62,エドモンド・ヒラリー,PAFF37AE,エドムンド・ヒラリー,0.9299999999999999,0.9
similar,P3BFA778,ヘンリー・フォード,PA603593,ヘンリー・フォード二世,0.9299999999999999,0.9
similar,PE2FAD8,スティーブン・キング,P0D75D5E,スティーヴン・キング,0.9299999999999999,0.9
similar,P0035135,グレゴール・メンデル,P5200C44,グレゴリー・メンデル,0.9299999999999999,0.9
similar,PB45DC2C,シグムント・フロイト,P851FBEA,ジグムント・フロイト,0.9299999999999999,0.9
similar,P29080E7,マックス・ヴェーバー,PEE03F9C,マックス・ウェーバー,0.9299999999999999,0.9
similar,PA3FE8CA,イザベル・アジェンデ,PAEB73EC,イザベラ・アジェンデ,0.9299999999999999,0.9
similar,P2B267DC,ケイティ・レデツキー,P87EC325,ケイティ・レデッキー,0.9299999999999999,0.9
similar,P87D4020,メラニー・パーキンス,PFA6A902,メラニア・パーキンス,0.9299999999999999,0.9
similar,P59DF525,イヴ・サン=ローラン,P63BAAB9,イヴ・サン・ローラン,0.9299999999999999,0.9
similar,P6E3BCAD,ライアン・クロウザー,P13E2EB8,ライアン・クラウザー,0.9299999999999999,0.9
