canonical_id,canonical_name,merged_id,merged_name,confidence,type
P9E1E40F,マイケル・ファラデー,P173C696,マイケル・ファラデー,1.0,exact
P0035135,グレゴール・メンデル,P7D59299,グレゴール・メンデル,1.0,exact
PAC4FBA3,ヨハネス・ケプラー,PCF659A3,ヨハネス・ケプラー,1.0,exact
P50537BD,ドミトリ・メンデレーエフ,P91A0ED0,ドミトリ・メンデレーエフ,1.0,exact
PF470DED,ショーン・メンデス,PCAC884A,ショーン・メンデス,1.0,exact
PE4E43E0,レイ・クロック,PFD78EEE,レイ・クロック,1.0,exact
P68E00B1,サム・ウォルトン,P7698747,サム・ウォルトン,1.0,exact
P956DDF4,アンドリュー・カーネギー,PD2DFF9C,アンドリュー・カーネギー,1.0,exact
PC73E09B,ラリー・エリソン,P791AF35,ラリー・エリソン,1.0,exact
PF25B2AC,マイケル・デル,P1E012A3,マイケル・デル,1.0,exact
P17FE168,カルロス・ゴーン,PCD41A16,カルロス・ゴーン,1.0,exact
P9360E3D,リード・ヘイスティングス,P9D47E17,リード・ヘイスティングス,1.0,exact
PA29EFC5,マーク・ベニオフ,PAD682A5,マーク・ベニオフ,1.0,exact
P4653E4C,ブライアン・チェスキー,PBE5BF13,ブライアン・チェスキー,1.0,exact
PD62AB36,ジャン＝リュック・ゴダール,P36A74E1,ジャン＝リュック・ゴダール,1.0,exact
P1481792,ペドロ・アルモドバル,PA4A249C,ペドロ・アルモドバル,1.0,exact
P2AAB14A,アンドレイ・タルコフスキー,PBA3BEA0,アンドレイ・タルコフスキー,1.0,exact
P1755E16,ケビン・デュラント,P6327068,ケビン・デュラント,1.0,exact
P75966DE,シャキール・オニール,P596A293,シャキール・オニール,1.0,exact
P1F22070,トム・ブレイディ,P47CA4F9,トム・ブレイディ,1.0,exact
PFE2AA3F,ダスティン・ホフマン,P8A978BD,ダスティン・ホフマン,1.0,exact
P04FDBB9,ケビン・コスナー,PDFB63CD,ケビン・コスナー,1.0,exact
P8E44054,ラッセル・クロウ,P943F280,ラッセル・クロウ,1.0,exact
P7FAA8BE,酒井宏樹,PFA64C79,酒井宏樹,1.0,exact
P8824515,マックス・フェルスタッペン,PCDFD10D,マックス・フェルスタッペン,1.0,exact
P8824515,マックス・フェルスタッペン,P796457B,マックス・フェルスタッペン,1.0,exact
PFE3897B,ハンス・ジマー,P84628A9,ハンス・ジマー,1.0,exact
P2D1FC7B,ダニー・エルフマン,PC7CF419,ダニー・エルフマン,1.0,exact
P51ABA84,スティーブ・ウォズニアック,PE08E40C,スティーブ・ウォズニアック,1.0,exact
P577CD51,スーザン・ウォシッキー,PB6EF6E8,スーザン・ウォシッキー,1.0,exact
PA7878CF,スンダー・ピチャイ,P344566D,スンダー・ピチャイ,1.0,exact
P894CD63,ダニエル・カーネマン,P61DE7C4,ダニエル・カーネマン,1.0,exact
P06E8966,ユヴァル・ノア・ハラリ,P42BF3AC,ユヴァル・ノア・ハラリ,1.0,exact
P0472A6B,ミチオ・カク,PEC6A635,ミチオ・カク,1.0,exact
P4063066,フランシス・クリック,PAE349AE,フランシス・クリック,1.0,exact
P53D6DBA,財津和夫,P69BE10A,財津和夫,1.0,exact
P53D6DBA,財津和夫,P451637D,財津和夫,1.0,exact
PF3784B1,竹中統一,P4EDF2AD,竹中統一,1.0,exact
P26B3EED,レイ・ブラッドベリ,PA4E9175,レイ・ブラッドベリ,1.0,exact
P642CAEF,カート・ヴォネガット,PE31230B,カート・ヴォネガット,1.0,exact
P4A817F3,フィリップ・ロス,PCE6A8D8,フィリップ・ロス,1.0,exact
P6B20E13,ドン・デリーロ,P8305C7C,ドン・デリーロ,1.0,exact
P78BC872,ジョナサン・フランゼン,PBB23345,ジョナサン・フランゼン,1.0,exact
P5BF27B6,ショーン・ペン,PF0D50E2,ショーン・ペン,1.0,exact
PAE9D812,マイケル・シャノン,P153853B,マイケル・シャノン,1.0,exact
PF68F933,エディ・レッドメイン,P480984E,エディ・レッドメイン,1.0,exact
P3EDF7AA,マイケル・B・ジョーダン,P07F09A4,マイケル・B・ジョーダン,1.0,exact
PD15CB0E,ベンジャミン・フランクリン,P9611147,ベンジャミン・フランクリン,1.0,exact
P9518E13,ダニエル・ラドクリフ,P872C252,ダニエル・ラドクリフ,1.0,exact
P496C0C3,ジョン・カーマック,P40C061D,ジョン・カーマック,1.0,exact
P327B190,テリー・ギリアム,PD5403AC,テリー・ギリアム,1.0,exact
P4448CF2,ダニエル・デイ＝ルイス,P99143B2,ダニエル・デイ＝ルイス,1.0,exact
P333EFC3,フランソワ・トリュフォー,P3E5CA4E,フランソワ・トリュフォー,1.0,exact
P774B9E9,ミケランジェロ・アントニオーニ,P6D4C535,ミケランジェロ・アントニオーニ,1.0,exact
PB75091B,ズラタン・イブラヒモビッチ,P01AC30C,ズラタン・イブラヒモビッチ,1.0,exact
P5FFF462,リード・ホフマン,PF392573,リード・ホフマン,1.0,exact
P8D8CA51,ジョン・ロックフェラー・ジュニア,P621FD79,ジョン・ロックフェラー・ジュニア,1.0,exact
P475941D,カール・ラガーフェルド,P9593846,カール・ラガーフェルド,1.0,exact
P4FC351A,ハワード・シュルツ,PDE9E9A6,ハワード・シュルツ,1.0,exact
PD3777E7,メアリー・バーラ,P0F41763,メアリー・バーラ,1.0,exact
P765816C,ノーム・チョムスキー,PA767073,ノーム・チョムスキー,1.0,exact
P446F8BF,ジェニファー・ダウドナ,PFE9D775,ジェニファー・ダウドナ,1.0,exact
PB7D523C,エマニュエル・シャルパンティエ,PE1A396B,エマニュエル・シャルパンティエ,1.0,exact
PB7D523C,エマニュエル・シャルパンティエ,P444813C,エマニュエル・シャルパンティエ,1.0,exact
P5FAF629,ロベルト・ベニーニ,PDE12052,ロベルト・ベニーニ,1.0,exact
P6A03A69,ウンベルト・エーコ,P905146E,ウンベルト・エーコ,1.0,exact
PB8F6F8B,イタロ・カルヴィーノ,P1C52F40,イタロ・カルヴィーノ,1.0,exact
P53D9DD7,マリオ・バルガス・リョサ,PC326A02,マリオ・バルガス・リョサ,1.0,exact
P4955358,トニ・モリスン,P4A28994,トニ・モリスン,1.0,exact
PCA8C5A5,小川直也,P19E43EB,小川直也,1.0,exact
P90FE3C4,マイク・タイソン,PDC248B2,マイク・タイソン,1.0,exact
PA4E5C6D,フロイド・メイウェザー,P1CB78A1,フロイド・メイウェザー,1.0,exact
PFA05071,マニー・パッキャオ,PD1FACD8,マニー・パッキャオ,1.0,exact
P3437154,コナー・マクレガー,P042775F,コナー・マクレガー,1.0,exact
P3437154,コナー・マクレガー,P856A4BA,コナー・マクレガー,1.0,exact
PE82D9EE,チャック・リデル,PEB0BA89,チャック・リデル,1.0,exact
PBFDC1F6,エリア・カザン,PC3777AA,エリア・カザン,1.0,exact
PF57F617,トルーマン・カポーティ,P26A5A42,トルーマン・カポーティ,1.0,exact
P604D85D,フィル・ナイト,PFFE9B42,フィル・ナイト,1.0,exact
P560AC9A,アリシア・キーズ,P730B137,アリシア・キーズ,1.0,exact
PB530AD8,ジョン・レジェンド,P1A6D097,ジョン・レジェンド,1.0,exact
P84661E9,エイミー・ワインハウス,PA79381E,エイミー・ワインハウス,1.0,exact
P99C89E9,ミラン・クンデラ,P21F93C7,ミラン・クンデラ,1.0,exact
P55AD51D,アニー・ディラード,PEE19063,アニー・ディラード,1.0,exact
P183DBEF,アンディ・グローブ,P31CD0D6,アンディ・グローブ,1.0,exact
P57AD10A,エリック・シュミット,P0796C48, エリック・シュミット,1.0,exact
PD46D3FF,篠原信一,P3B9153C,篠原信一,1.0,exact
PAB81F82,朝原宣治,PC3FDBD1,朝原宣治,1.0,exact
PBFABCE9,沢松奈生子,P114EC05,沢松奈生子,1.0,exact
P9EB779F,千葉すず,PBEB3F68,千葉すず,1.0,exact
P7FABEB5,工藤公康,P4ABD01C,工藤公康,1.0,exact
P7FABEB5,工藤公康,P540928A,工藤公康,1.0,exact
P8D5F4BB,瀬古利彦,P57F0FE2,瀬古利彦,1.0,exact
P3B1192F,塚原直也,P8ADD8E8,塚原直也,1.0,exact
PE3563C9,田臥勇太,P50A1A53,田臥勇太,1.0,exact
P7E7A628,樋口久子,PB689780,樋口久子,1.0,exact
P2B267DC,ケイティ・レデツキー,PB542C19,ケイティ・レデツキー,1.0,exact
P53D3756,シモーン・バイルズ,PFAB8241,シモーン・バイルズ,1.0,exact
P53D3756,シモーン・バイルズ,P139491F,シモーン・バイルズ,1.0,exact
P9DC0935,ドロシー・ホジキン,P101109D,ドロシー・ホジキン,1.0,exact
PCEE1B26,ポール・クルーグマン,P0DB7D1B,ポール・クルーグマン,1.0,exact
P6F47B28,キャメロン・ディアス,PC9E960E,キャメロン・ディアス,1.0,exact
P6B66C7D,ペネロペ・クルス,P501BC86,ペネロペ・クルス,1.0,exact
P038E0E8,セリーヌ・ディオン,PEA4F9C8,セリーヌ・ディオン,1.0,exact
P809F9BB,マライア・キャリー,PCFFD871,マライア・キャリー,1.0,exact
PF857BAB,バーブラ・ストライサンド,P2005D05,バーブラ・ストライサンド,1.0,exact
PF857BAB,バーブラ・ストライサンド,P95A5E0F,バーブラ・ストライサンド,1.0,exact
PE3866CE,ジョージ・マイケル,PF6E22A0,ジョージ・マイケル,1.0,exact
P1629C2F,ジャスティン・ティンバーレイク,P6792464,ジャスティン・ティンバーレイク,1.0,exact
PDDB5E6B,ダニエル・クレイグ,PAD5E4C5,ダニエル・クレイグ,1.0,exact
P9A30006,ジェシカ・チャステイン,PB168C45,ジェシカ・チャステイン,1.0,exact
P539B1EC,イングリッド・バーグマン,P7CE3F26,イングリッド・バーグマン,1.0,exact
P169B4D2,千住博,P25BF8BD,千住博,1.0,exact
P24B4003,ジーン・ケリー,P311B242,ジーン・ケリー,1.0,exact
PCAD9E01,ウィリアム・ハーヴェイ,P3D46802,ウィリアム・ハーヴェイ,1.0,exact
P82B797B,リチャード・バートン,P8E03ABA,リチャード・バートン,1.0,exact
P1DF4B25,ジョニー・キャッシュ,PEDEFBE9,ジョニー・キャッシュ,1.0,exact
P7484B2C,阿久悠,PE00F724,阿久悠,1.0,exact
P9B0160A,キャロル・キング,P7617621,キャロル・キング,1.0,exact
PD32C721,ティム・スウィーニー,P14BF99C,ティム・スウィーニー,1.0,exact
P86CE01E,アーサー・コナン・ドイル,PD7ED32A,アーサー・コナン・ドイル,1.0,exact
P57CA6BA,ジョン・アップダイク,P6F21D5D,ジョン・アップダイク,1.0,exact
P1268D6B,イアン・マキューアン,P0995FC3,イアン・マキューアン,1.0,exact
PA916E60,フィリップ・K・ディック,P03DF9DB,フィリップ・K・ディック,1.0,exact
P649A25A,ダグラス・エンゲルバート,PF27A102,ダグラス・エンゲルバート,1.0,exact
P422EDD5,アラン・ケイ,P635A73B,アラン・ケイ,1.0,exact
P1A629D6,ホイットフィールド・ディフィー,P680842A,ホイットフィールド・ディフィー,1.0,exact
P5FD7EF4,アマンシオ・オルテガ,P23CB539,アマンシオ・オルテガ,1.0,exact
PC38E508,川崎正蔵,P49F493A,川崎正蔵,1.0,exact
